join_field,ref_percent,scls_label,state_class_id,age_category,canopy_category,model_code,bps_name,ref_label,cur_scls_count,bps_count,bps_acres,ref_scls_acres,cur_scls_acres,cur_percent
13660_51_63_64_65_66_A,3,A,Early1:ALL,Early1,ALL,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,A,2606,429463,95510,2865,580,0.606804311
13660_51_63_64_65_66_B,16,B,Early2:CLS,Early2,CLS,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,B,2477,429463,95510,15282,551,0.576766799
13660_51_63_64_65_66_C,39,C,Mid1:CLS,Mid1,CLS,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,C,3485,429463,95510,37249,775,0.811478521
13660_51_63_64_65_66_D,42,D,Late1:CLS,Late1,CLS,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,D,358361,429463,95510,40114,79698,83.44397538
13660_51_63_64_65_66_E,NA,NA,NA,NA,NA,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,E,NA,429463,95510,NA,NA,NA
13660_51_63_64_65_66_Agriculture,0,NA,NA,NA,NA,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Agriculture,9080,429463,95510,0,2019,2.114268284
13660_51_63_64_65_66_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
13660_51_63_64_65_66_Water,0,NA,NA,NA,NA,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,Water,NA,429463,95510,0,NA,NA
13660_51_63_64_65_66_UN,0,NA,NA,NA,NA,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,UN,NA,429463,95510,0,NA,NA
13660_51_63_64_65_66_UE,0,NA,NA,NA,NA,13660_51_63_64_65_66,Laurentian-Acadian Pine-Hemlock-Hardwood Forest,UE,15901,429463,95510,0,3536,3.702530835
14071_41_50_51_A,9,A,Early1:ALL,Early1,ALL,14071_41_50_51,Laurentian Pine-Oak Barrens,A,497,99987,22237,2001,111,0.497064618
14071_41_50_51_B,1,B,Mid1:CLS,Mid1,CLS,14071_41_50_51,Laurentian Pine-Oak Barrens,B,7,99987,22237,222,2,0.00700091
14071_41_50_51_C,26,C,Mid2:OPN,Mid2,OPN,14071_41_50_51,Laurentian Pine-Oak Barrens,C,987,99987,22237,5782,220,0.987128327
14071_41_50_51_D,62,D,Late1:OPN,Late1,OPN,14071_41_50_51,Laurentian Pine-Oak Barrens,D,36317,99987,22237,13787,8077,36.32172182
14071_41_50_51_E,2,E,Late2:CLS,Late2,CLS,14071_41_50_51,Laurentian Pine-Oak Barrens,E,31922,99987,22237,445,7099,31.9261504
14071_41_50_51_Agriculture,0,NA,NA,NA,NA,14071_41_50_51,Laurentian Pine-Oak Barrens,Agriculture,1047,99987,22237,0,233,1.047136128
14071_41_50_51_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
14071_41_50_51_Water,0,NA,NA,NA,NA,14071_41_50_51,Laurentian Pine-Oak Barrens,Water,NA,99987,22237,0,NA,NA
14071_41_50_51_UN,0,NA,NA,NA,NA,14071_41_50_51,Laurentian Pine-Oak Barrens,UN,398,99987,22237,0,89,0.398051747
14071_41_50_51_UE,0,NA,NA,NA,NA,14071_41_50_51,Laurentian Pine-Oak Barrens,UE,17551,99987,22237,0,3903,17.55328193
14072_41_50_51_A,14,A,Early1:ALL,Early1,ALL,14072_41_50_51,Laurentian Pine-Oak Barrens - Jack Pine,A,61,27367,6086,852,14,0.222896189
14072_41_50_51_B,23,B,Mid1:OPN,Mid1,OPN,14072_41_50_51,Laurentian Pine-Oak Barrens - Jack Pine,B,133,27367,6086,1400,30,0.485986772
14072_41_50_51_C,49,C,Late1:OPN,Late1,OPN,14072_41_50_51,Laurentian Pine-Oak Barrens - Jack Pine,C,20968,27367,6086,2982,4663,76.61782439
14072_41_50_51_D,14,D,Late1:CLS,Late1,CLS,14072_41_50_51,Laurentian Pine-Oak Barrens - Jack Pine,D,NA,27367,6086,852,NA,NA
14072_41_50_51_E,NA,NA,NA,NA,NA,14072_41_50_51,Laurentian Pine-Oak Barrens - Jack Pine,E,NA,27367,6086,NA,NA,NA
14072_41_50_51_Agriculture,0,NA,NA,NA,NA,14072_41_50_51,Laurentian Pine-Oak Barrens - Jack Pine,Agriculture,117,27367,6086,0,26,0.427522198
14072_41_50_51_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
14072_41_50_51_Water,0,NA,NA,NA,NA,14072_41_50_51,Laurentian Pine-Oak Barrens - Jack Pine,Water,NA,27367,6086,0,NA,NA
14072_41_50_51_UN,0,NA,NA,NA,NA,14072_41_50_51,Laurentian Pine-Oak Barrens - Jack Pine,UN,NA,27367,6086,0,NA,NA
14072_41_50_51_UE,0,NA,NA,NA,NA,14072_41_50_51,Laurentian Pine-Oak Barrens - Jack Pine,UE,3188,27367,6086,0,709,11.64906639
14120_39_40_41_42_43_50_51_A,80,A,Early1:OPN,Early1,OPN,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,A,NA,110,24,20,NA,NA
14120_39_40_41_42_43_50_51_B,16,B,Mid1:ALL,Mid1,ALL,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,B,NA,110,24,4,NA,NA
14120_39_40_41_42_43_50_51_C,4,C,Mid2:ALL,Mid2,ALL,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,C,NA,110,24,1,NA,NA
14120_39_40_41_42_43_50_51_D,NA,NA,NA,NA,NA,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,D,NA,110,24,NA,NA,NA
14120_39_40_41_42_43_50_51_E,NA,NA,NA,NA,NA,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,E,NA,110,24,NA,NA,NA
14120_39_40_41_42_43_50_51_Agriculture,0,NA,NA,NA,NA,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Agriculture,NA,110,24,0,NA,NA
14120_39_40_41_42_43_50_51_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
14120_39_40_41_42_43_50_51_Water,0,NA,NA,NA,NA,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,Water,NA,110,24,0,NA,NA
14120_39_40_41_42_43_50_51_UN,0,NA,NA,NA,NA,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,UN,36,110,24,0,8,32.72727273
14120_39_40_41_42_43_50_51_UE,0,NA,NA,NA,NA,14120_39_40_41_42_43_50_51,North-Central Interior Sand and Gravel Tallgrass Prairie,UE,4,110,24,0,1,3.636363636
14210_31_38_42_43_44_50_51_A,40,A,Early1:OPN,Early1,OPN,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,A,NA,8,2,1,NA,NA
14210_31_38_42_43_44_50_51_B,58,B,Mid1:OPN,Mid1,OPN,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,B,NA,8,2,1,NA,NA
14210_31_38_42_43_44_50_51_C,2,C,Late1:ALL,Late1,ALL,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,C,NA,8,2,0,NA,NA
14210_31_38_42_43_44_50_51_D,NA,NA,NA,NA,NA,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,D,NA,8,2,NA,NA,NA
14210_31_38_42_43_44_50_51_E,NA,NA,NA,NA,NA,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,E,NA,8,2,NA,NA,NA
14210_31_38_42_43_44_50_51_Agriculture,0,NA,NA,NA,NA,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Agriculture,NA,8,2,0,NA,NA
14210_31_38_42_43_44_50_51_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
14210_31_38_42_43_44_50_51_Water,0,NA,NA,NA,NA,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,Water,NA,8,2,0,NA,NA
14210_31_38_42_43_44_50_51_UN,0,NA,NA,NA,NA,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,UN,8,8,2,0,2,100
14210_31_38_42_43_44_50_51_UE,0,NA,NA,NA,NA,14210_31_38_42_43_44_50_51,Central Tallgrass Prairie,UE,NA,8,2,0,NA,NA
14440_41_50_51_A,15,A,Early1:ALL,Early1,ALL,14440_41_50_51,Eastern Boreal Floodplain,A,10,72192,16055,2408,2,0.01385195
14440_41_50_51_B,35,B,Mid1:OPN,Mid1,OPN,14440_41_50_51,Eastern Boreal Floodplain,B,293,72192,16055,5619,65,0.405862145
14440_41_50_51_C,37,C,Mid1:CLS,Mid1,CLS,14440_41_50_51,Eastern Boreal Floodplain,C,48651,72192,16055,5940,10820,67.39112367
14440_41_50_51_D,13,D,Late1:CLS,Late1,CLS,14440_41_50_51,Eastern Boreal Floodplain,D,104,72192,16055,2087,23,0.144060284
14440_41_50_51_E,NA,NA,NA,NA,NA,14440_41_50_51,Eastern Boreal Floodplain,E,NA,72192,16055,NA,NA,NA
14440_41_50_51_Agriculture,0,NA,NA,NA,NA,14440_41_50_51,Eastern Boreal Floodplain,Agriculture,2735,72192,16055,0,608,3.788508422
14440_41_50_51_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
14440_41_50_51_Water,0,NA,NA,NA,NA,14440_41_50_51,Eastern Boreal Floodplain,Water,NA,72192,16055,0,NA,NA
14440_41_50_51_UN,0,NA,NA,NA,NA,14440_41_50_51,Eastern Boreal Floodplain,UN,18665,72192,16055,0,4151,25.85466534
14440_41_50_51_UE,0,NA,NA,NA,NA,14440_41_50_51,Eastern Boreal Floodplain,UE,844,72192,16055,0,188,1.16910461
14660_50_51_A,23,A,Early1:OPN,Early1,OPN,14660_50_51,Great Lakes Wooded Dune and Swale,A,8,340,76,17,2,2.352941176
14660_50_51_B,23,B,Early2:OPN,Early2,OPN,14660_50_51,Great Lakes Wooded Dune and Swale,B,NA,340,76,17,NA,NA
14660_50_51_C,27,C,Late1:CLS,Late1,CLS,14660_50_51,Great Lakes Wooded Dune and Swale,C,306,340,76,20,68,90
14660_50_51_D,27,D,Late2:CLS,Late2,CLS,14660_50_51,Great Lakes Wooded Dune and Swale,D,13,340,76,20,3,3.823529412
14660_50_51_E,NA,NA,NA,NA,NA,14660_50_51,Great Lakes Wooded Dune and Swale,E,NA,340,76,NA,NA,NA
14660_50_51_Agriculture,0,NA,NA,NA,NA,14660_50_51,Great Lakes Wooded Dune and Swale,Agriculture,2,340,76,0,0,0.588235294
14660_50_51_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
14660_50_51_Water,0,NA,NA,NA,NA,14660_50_51,Great Lakes Wooded Dune and Swale,Water,NA,340,76,0,NA,NA
14660_50_51_UN,0,NA,NA,NA,NA,14660_50_51,Great Lakes Wooded Dune and Swale,UN,NA,340,76,0,NA,NA
14660_50_51_UE,0,NA,NA,NA,NA,14660_50_51,Great Lakes Wooded Dune and Swale,UE,5,340,76,0,1,1.470588235
14750_41_50_51_63_64_65_66_A,16,A,Early1:ALL,Early1,ALL,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,A,NA,28925,6433,1029,NA,NA
14750_41_50_51_63_64_65_66_B,23,B,Mid1:OPN,Mid1,OPN,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,B,369,28925,6433,1480,82,1.275713051
14750_41_50_51_63_64_65_66_C,44,C,Mid1:CLS,Mid1,CLS,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,C,18000,28925,6433,2830,4003,62.22990493
14750_41_50_51_63_64_65_66_D,17,D,Late1:CLS,Late1,CLS,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,D,NA,28925,6433,1094,NA,NA
14750_41_50_51_63_64_65_66_E,NA,NA,NA,NA,NA,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,E,NA,28925,6433,NA,NA,NA
14750_41_50_51_63_64_65_66_Agriculture,0,NA,NA,NA,NA,14750_41_50_51_63_64_65_66,Laurentian-Acadian Floodplain Systems,Agriculture,194,28925,6433,0,43,0.670700086
14750_41_50_51_63_64_65_66_Agriculture,0,NA,NA,NA,NA,NA,NA,NA,NA,0,0,0,NA,NA
